reference	sample	size	ex.itsx	ex.wirt	ex.lichen	ex.fun	ex.liquenicola	ex.tra
ITA87PB02DIAR7	Teph_atr+Sky_teph+A280	1	1	1	1	1	0	11
ITA87PB02D229K	Teph_atr+Sky_teph+A280	1	1	1	1	1	0	11
ITA87PB02ERKCT	Teph_atr+Sky_teph+A280	1	0	0	0	0	0	0
ITA87PB02D9GG2	Teph_atr+Sky_teph+A280	1	1	1	1	1	0	11
ITA87PB02DHZNC	Teph_atr+Sky_teph+A280	1	1	1	1	1	0	11
ITA87PB02EATR1	Teph_atr+Sky_teph+A280	1	1	1	1	1	0	11
ITA87PB02EMWR1	Teph_atr+Sky_teph+A280	1	0	0	0	0	0	0
ITA87PB02DRF22	Teph_atr+Sky_teph+A280	1	1	1	1	1	0	11
ITA87PB02DWAA1	Teph_atr+Sky_teph+A280	1	0	0	0	0	0	0
ITA87PB02CZNZQ	Teph_atr+Sky_teph+A280	1	1	1	1	1	0	11
ITA87PB02DTKKF	Teph_atr+Sky_teph+A280	1	1	1	1	1	0	11
ITA87PB02EJL45	Teph_atr+Sky_teph+A280	1	1	1	1	1	0	11
ITA87PB02EOFCK	Teph_atr+Sky_teph+A280	1	0	0	0	0	0	0
ITA87PB02DMR6A	Teph_atr+Sky_teph+A280	1	1	1	1	1	0	11
ITA87PB02D1I1K	Teph_atr+Sky_teph+A280	1	1	1	1	1	0	11
ITA87PB02D9HUY	Teph_atr+Sky_teph+A280	1	0	0	0	0	0	0
ITA87PB02C5OLU	Teph_atr+Sky_teph+A280	1	1	1	1	1	0	11
ITA87PB02D6V0N	Teph_atr+Sky_teph+A280	1	0	0	0	0	0	0
ITA87PB02C8SLO	Teph_atr+Sky_teph+A280	1	1	0	0	1	0	11
ITA87PB02EBDXI	Teph_atr+Sky_teph+A280	1	0	0	0	1	0	0
ITA87PB02D3JNO	Teph_atr+Sky_teph+A280	1	1	1	1	1	0	11
ITA87PB02EE39Q	Teph_atr+Sky_teph+A280	1	1	1	1	1	0	11
ITA87PB02EKZCR	Teph_atr+Sky_teph+A280	1	0	0	0	1	0	0
ITA87PB02DHABJ	Teph_atr+Sky_teph+A280	1	0	0	0	1	0	0
ITA87PB02DPZ3J	Teph_atr+Sky_teph+A280	1	1	0	0	1	0	11
ITA87PB02ESHR9	Teph_atr+Sky_teph+A280	1	1	1	1	1	0	11
ITA87PB02D5ZN7	Teph_atr+Sky_teph+A280	1	1	1	1	1	0	11
ITA87PB02DS3V1	Teph_atr+Sky_teph+A280	1	1	1	1	1	0	11
ITA87PB02DESQW	Teph_atr+Sky_teph+A280	1	1	1	1	1	0	11
ITA87PB02DUK63	Teph_atr+Sky_teph+A280	1	0	0	0	0	0	0
ITA87PB02DECUA	Teph_atr+Sky_teph+A280	1	1	1	1	1	0	11
ITA87PB02ESBO6	Teph_atr+Sky_teph+A280	1	1	1	1	1	0	11
ITA87PB02EOQCH	Teph_atr+Sky_teph+A280	1	1	1	1	1	0	11
ITA87PB02DVIZ0	Teph_atr+Sky_teph+A280	1	0	0	0	0	0	0
ITA87PB02EWY43	Teph_atr+Sky_teph+A280	1	1	1	1	1	0	11
ITA87PB02C0G7D	Teph_atr+Sky_teph+A280	1	1	1	1	1	0	11
ITA87PB02EHEIX	Teph_atr+Sky_teph+A280	1	0	0	0	0	0	0
ITA87PB02D155R	Teph_atr+Sky_teph+A280	1	0	0	0	0	0	0
ITA87PB02DABUP	Teph_atr+Sky_teph+A280	1	1	1	1	1	0	11
ITA87PB02DK662	Teph_atr+Sky_teph+A280	1	1	1	1	1	0	11
ITA87PB02DI01O	Teph_atr+Sky_teph+A280	1	0	0	0	0	0	0
ITA87PB02EMN3V	Teph_atr+Sky_teph+A280	1	1	1	1	1	0	11
ITA87PB02DAAC4	Teph_atr+Sky_teph+A280	1	1	1	1	1	0	11
ITA87PB02D6PLH	Teph_atr+Sky_teph+A280	1	1	1	1	1	0	11
ITA87PB02ER3M0	Teph_atr+Sky_teph+A280	1	0	0	0	0	0	0
ITA87PB02DMM4R	Teph_atr+Sky_teph+A280	1	1	1	1	1	0	11
ITA87PB02CZMQQ	Teph_atr+Sky_teph+A280	1	0	0	0	0	0	0
ITA87PB02EHMSQ	Teph_atr+Sky_teph+A280	1	1	1	1	1	0	11
ITA87PB02D7USN	Teph_atr+Sky_teph+A280	1	0	0	0	0	0	0
ITA87PB02EEH2B	Teph_atr+Sky_teph+A280	1	1	1	1	1	0	11
ITA87PB02D8TUA	Teph_atr+Sky_teph+A280	1	0	0	0	0	0	0
ITA87PB02C13CP	Teph_atr+Sky_teph+A280	1	1	1	1	1	0	11
ITA87PB02EWSBX	Teph_atr+Sky_teph+A280	1	1	1	1	1	0	11
ITA87PB02EBE86	Teph_atr+Sky_teph+A280	1	1	1	1	1	0	11
ITA87PB02C12Q7	Teph_atr+Sky_teph+A280	1	1	1	1	1	0	11
ITA87PB02C1JUD	Teph_atr+Sky_teph+A280	1	1	1	1	1	0	11
ITA87PB02DWBUF	Teph_atr+Sky_teph+A280	1	1	0	0	1	0	11
ITA87PB02EL8F0	Teph_atr+Sky_teph+A280	1	1	1	1	1	0	11
ITA87PB02C98HX	Teph_atr+Sky_teph+A280	1	0	0	0	0	0	0
ITA87PB02EM986	Teph_atr+Sky_teph+A280	1	0	0	0	0	0	0
ITA87PB02ELJY2	Teph_atr+Sky_teph+A280	1	1	1	1	1	0	11
ITA87PB02EWOR2	Teph_atr+Sky_teph+A280	1	1	1	1	1	0	11
ITA87PB02EKPAH	Teph_atr+Sky_teph+A280	1	1	1	1	1	0	11
ITA87PB02C3396	Teph_atr+Sky_teph+A280	1	1	0	0	1	0	11
ITA87PB02C7KRZ	Teph_atr+Sky_teph+A280	1	0	0	0	0	0	0
ITA87PB02DC5R5	Teph_atr+Sky_teph+A280	1	1	1	1	1	0	11
ITA87PB02C8I2N	Teph_atr+Sky_teph+A280	1	1	1	1	1	0	11
ITA87PB02DK500	Teph_atr+Sky_teph+A280	1	1	1	1	1	0	11
ITA87PB02DV4R0	Teph_atr+Sky_teph+A280	1	0	0	0	0	0	0
ITA87PB02EOG6V	Teph_atr+Sky_teph+A280	1	0	0	0	0	0	0
ITA87PB02D26Y9	Teph_atr+Sky_teph+A280	1	1	0	0	1	0	11
ITA87PB02DMHMS	Teph_atr+Sky_teph+A280	1	1	1	1	1	0	11
ITA87PB02DZCLH	Teph_atr+Sky_teph+A280	1	0	0	0	0	0	0
ITA87PB02EQ8PV	Teph_atr+Sky_teph+A280	1	1	1	1	1	0	11
ITA87PB02EP1QL	Teph_atr+Sky_teph+A280	1	1	1	1	1	0	11
ITA87PB02ENSD6	Teph_atr+Sky_teph+A280	1	1	1	1	1	0	11
ITA87PB02EBVW8	Teph_atr+Sky_teph+A280	1	1	1	1	1	0	11
ITA87PB02ELVFB	Teph_atr+Sky_teph+A280	1	1	1	1	1	0	11
ITA87PB02CX3HU	Teph_atr+Sky_teph+A280	1	0	0	0	0	0	0
ITA87PB02C7XUK	Teph_atr+Sky_teph+A280	1	1	0	0	1	0	11
ITA87PB02EWBYX	Teph_atr+Sky_teph+A280	1	1	1	1	1	0	11
ITA87PB02DSMA8	Teph_atr+Sky_teph+A280	1	1	1	1	1	0	11
ITA87PB02D5XDI	Teph_atr+Sky_teph+A280	1	0	0	0	0	0	0
ITA87PB02DAQP8	Teph_atr+Sky_teph+A280	1	1	1	1	1	0	11
ITA87PB02EIKEA	Teph_atr+Sky_teph+A280	1	0	0	0	0	0	0
ITA87PB02EKS2Q	Teph_atr+Sky_teph+A280	1	1	1	1	1	0	11
ITA87PB02DT82J	Teph_atr+Sky_teph+A280	1	1	1	1	1	0	11
ITA87PB02EPJRH	Teph_atr+Sky_teph+A280	1	1	0	0	1	0	11
ITA87PB02CX1AJ	Teph_atr+Sky_teph+A280	1	1	1	1	1	0	11
ITA87PB02EUBCA	Teph_atr+Sky_teph+A280	1	0	0	0	0	0	0
ITA87PB02DYLTI	Teph_atr+Sky_teph+A280	1	1	1	1	1	0	11
ITA87PB02DY2X0	Teph_atr+Sky_teph+A280	1	0	0	0	0	0	0
ITA87PB02DUJUQ	Teph_atr+Sky_teph+A280	1	0	0	0	0	0	0
ITA87PB02EXNZF	Teph_atr+Sky_teph+A280	1	1	1	1	1	0	11
ITA87PB02EERVO	Teph_atr+Sky_teph+A280	1	1	1	1	1	0	11
ITA87PB02EDWOU	Teph_atr+Sky_teph+A280	1	1	1	1	1	0	11
ITA87PB02EJQMW	Teph_atr+Sky_teph+A280	1	1	1	1	1	0	11
ITA87PB02EAWEO	Teph_atr+Sky_teph+A280	1	0	0	0	1	0	0
ITA87PB02EPEDW	Teph_atr+Sky_teph+A280	1	1	1	1	1	0	11
ITA87PB02DTMCS	Teph_atr+Sky_teph+A280	1	1	1	1	1	0	11
ITA87PB02ERECU	Teph_atr+Sky_teph+A280	1	0	0	0	0	0	0
ITA87PB02D76NK	Teph_atr+Sky_teph+A280	1	0	0	0	0	0	0
ITA87PB02D85VU	Teph_atr+Sky_teph+A280	1	1	1	1	1	0	11
ITA87PB02DTZ9F	Teph_atr+Sky_teph+A280	1	1	1	1	1	0	11
ITA87PB02EL1SX	Teph_atr+Sky_teph+A280	1	1	1	1	1	0	11
ITA87PB02C7ANH	Teph_atr+Sky_teph+A280	1	0	0	0	0	0	0
ITA87PB02C7A9X	Teph_atr+Sky_teph+A280	1	1	1	1	1	0	11
ITA87PB02DRIYV	Teph_atr+Sky_teph+A280	1	1	1	1	1	0	11
ITA87PB02DGMH6	Teph_atr+Sky_teph+A280	1	0	0	0	0	0	0
ITA87PB02D97PM	Teph_atr+Sky_teph+A280	1	0	0	0	0	0	0
ITA87PB02EFHD2	Teph_atr+Sky_teph+A280	1	1	1	1	1	0	11
ITA87PB02DE03N	Teph_atr+Sky_teph+A280	1	1	1	1	1	0	11
ITA87PB02CW4EM	Teph_atr+Sky_teph+A280	1	0	0	0	0	0	0
ITA87PB02DF7VJ	Teph_atr+Sky_teph+A280	1	0	0	0	0	0	0
ITA87PB02ECFGW	Teph_atr+Sky_teph+A280	1	0	0	0	1	0	0
ITA87PB02ETSDH	Teph_atr+Sky_teph+A280	1	1	1	1	1	0	11
ITA87PB02DJR7Q	Teph_atr+Sky_teph+A280	1	0	0	0	1	0	0
ITA87PB02C2HS6	Teph_atr+Sky_teph+A280	1	1	1	1	1	0	11
ITA87PB02EXDYJ	Teph_atr+Sky_teph+A280	1	0	0	0	0	0	0
ITA87PB02EN9B1	Teph_atr+Sky_teph+A280	1	1	1	1	1	0	11
ITA87PB02C4DQ7	Teph_atr+Sky_teph+A280	1	1	1	1	1	0	11
ITA87PB02DC8ZU	Teph_atr+Sky_teph+A280	1	1	1	1	1	0	11
ITA87PB02DQESF	Teph_atr+Sky_teph+A280	1	0	0	0	0	0	0
ITA87PB02EK9RL	Teph_atr+Sky_teph+A280	1	0	0	0	0	0	0
ITA87PB02C1R0N	Teph_atr+Sky_teph+A280	1	1	1	1	1	0	11
ITA87PB02DUBJW	Teph_atr+Sky_teph+A280	1	1	1	1	1	0	11
ITA87PB02D0USO	Teph_atr+Sky_teph+A280	1	1	1	1	1	0	11
ITA87PB02EUSQ4	Teph_atr+Sky_teph+A280	1	0	0	0	0	0	0
ITA87PB02C2CSD	Teph_atr+Sky_teph+A280	1	0	0	0	0	0	0
ITA87PB02DXUFQ	Teph_atr+Sky_teph+A280	1	0	0	0	0	0	0
ITA87PB02EO1NF	Teph_atr+Sky_teph+A280	1	1	1	1	1	0	11
ITA87PB02D08HK	Teph_atr+Sky_teph+A280	1	1	1	1	1	0	11
ITA87PB02EPOLM	Teph_atr+Sky_teph+A280	1	1	1	1	1	0	11
ITA87PB02EVJY5	Teph_atr+Sky_teph+A280	1	0	0	0	1	0	0
ITA87PB02EQMSO	Teph_atr+Sky_teph+A280	1	1	1	1	1	0	11
ITA87PB02EKTOE	Teph_atr+Sky_teph+A280	1	1	1	1	1	0	11
ITA87PB02EMA07	Teph_atr+Sky_teph+A280	1	1	1	1	1	0	11
ITA87PB02EWSTM	Teph_atr+Sky_teph+A280	1	1	1	1	1	0	11
ITA87PB02D5B8N	Teph_atr+Sky_teph+A280	1	0	0	0	0	0	0
ITA87PB02CXNN9	Teph_atr+Sky_teph+A280	1	1	1	1	1	0	11
ITA87PB02C85YM	Teph_atr+Sky_teph+A280	1	1	0	0	1	0	11
ITA87PB02EFG3A	Teph_atr+Sky_teph+A280	1	0	0	0	0	0	0
ITA87PB02D1MLA	Teph_atr+Sky_teph+A280	1	0	0	0	0	0	0
ITA87PB02CWUTG	Teph_atr+Sky_teph+A280	1	0	0	0	1	0	0
ITA87PB02C25F5	Teph_atr+Sky_teph+A280	1	1	1	1	1	0	11
ITA87PB02DC3M6	Teph_atr+Sky_teph+A280	1	1	1	1	1	0	11
ITA87PB02CXO6Q	Teph_atr+Sky_teph+A280	1	0	0	0	0	0	0
ITA87PB02DS0QD	Teph_atr+Sky_teph+A280	1	0	0	0	1	0	0
ITA87PB02C2RJH	Teph_atr+Sky_teph+A280	1	0	0	0	0	0	0
ITA87PB02DA2NM	Teph_atr+Sky_teph+A280	1	1	1	1	1	0	11
ITA87PB02ECGXA	Teph_atr+Sky_teph+A280	1	1	1	1	1	0	11
ITA87PB02D6TJV	Teph_atr+Sky_teph+A280	1	1	1	1	1	0	11
ITA87PB02DOENA	Teph_atr+Sky_teph+A280	1	1	1	1	1	0	11
