"" "reference" "size" "megan.taxonomy" "classification" "identity" "OTU_A" "OTU_B" "" "" "" "" "" "" "" "" "" "" "" "" "" ""
"ITA87PB02DRJW5" "A194" "ITA87PB02DRJW5" "919" " root; 100; cellular organisms; 100; Eukaryota; 100; Opisthokonta; 100; Fungi; 100; Dikarya; 100; Ascomycota; 100; saccharomyceta; 100; Pezizomycotina; 100; leotiomyceta; 100; Lecanoromycetes; 100; OSLEUM clade; 100; Lecanoromycetidae; 100; Rhizocarpales; 100; Rhizocarpaceae; 100; Rhizocarpon; 100; Rhizocarpon geographicum; 50;" "match" "99.6" "OTU_8" "0" "Fungi" "-248.679190043357" "Ascomycota" "-248.679190043357" "Lecanoromycetes" "-248.679190043357" "Rhizocarpales" "-248.679190043357" "Rhizocarpaceae" "-248.679190043357" "Rhizocarpon" "-248.679190043357" "Rhizocarpon" "-248.679190043357"
"ITA87PB02DKKKB" "A622" "ITA87PB02DKKKB" "889" " root; 100; cellular organisms; 100; Eukaryota; 100; Opisthokonta; 100; Fungi; 100; Dikarya; 100; Ascomycota; 100; saccharomyceta; 100; Pezizomycotina; 100; leotiomyceta; 100; dothideomyceta; 100; Dothideomycetes; 100; Dothideomycetidae; 100; Capnodiales; 100; Mycosphaerellaceae; 100; Mycosphaerella; 100; Mycosphaerella sp. L357; 50;" "match" "100.0" "OTU_12" "0" "Fungi" "-205.153216827784" "Ascomycota" "-205.153216827784" "Dothideomycetes" "-205.153216827784" "Capnodiales" "-205.153216827784" "Mycosphaerellaceae" "-205.153216827784" "Mycosphaerella" "-205.153216827784" "Mycosphaerella" "-205.153216827784"
"ITA87PB02DFHJT" "A280" "ITA87PB02DFHJT" "746" " root; 100; cellular organisms; 100; Eukaryota; 100; Opisthokonta; 100; Fungi; 100; Dikarya; 100; Basidiomycota; 100; Agaricomycotina; 100; Tremellomycetes; 100; Tremellales; 100; Sirobasidiaceae; 100; Fibulobasidium; 100;" "match" "100.0" "OTU_3" "0" "Fungi" "-131.247350300661" "Basidiomycota" "-131.247350300661" "Tremellomycetes" "-131.247350300661" "Tremellales" "-131.247350300661" "Sirobasidiaceae" "-131.247350300661" "Penicillium/Talaromyces" "-53.0648176545209" "Tremellomycetes" "-94.4059888127559"
"ITA87PB02C48ER" "A418" "ITA87PB02C48ER" "711" " root; 100; cellular organisms; 100; Eukaryota; 100; Opisthokonta; 100; Fungi; 100; Dikarya; 100; Ascomycota; 100; saccharomyceta; 100; Pezizomycotina; 100; leotiomyceta; 100; Lecanoromycetes; 100; OSLEUM clade; 100; Lecanoromycetidae; 100; Lecanorales; 100; Lecanorineae; 100; Lecanoraceae; 100; Lecanora; 50; Lecanora concolor; 50;" "otu" "76.7" "OTU_16" "OTU_9" "Fungi" "-166.702417427445" "Ascomycota" "-166.702417427445" "Lecanoromycetes" "-166.702417427445" "Lecanorales" "-162.790394422017" "Lecanoraceae" "-162.790394422017" "Lecanora" "-161.537631453522" "Lecanoromycetes" "-166.702417427445"
"ITA87PB02DP5DW" "A420" "ITA87PB02DP5DW" "700" " root; 100; cellular organisms; 100; Eukaryota; 100; Opisthokonta; 100; Fungi; 100; Dikarya; 100; Ascomycota; 100; saccharomyceta; 100; Pezizomycotina; 100; leotiomyceta; 100; Lecanoromycetes; 100; OSLEUM clade; 100; Umbilicariomycetidae; 100; Umbilicariales; 100; Umbilicariaceae; 100; Umbilicaria; 100; Umbilicaria decussata; 25;" "match" "100.0" "OTU_5" "0" "Fungi" "-173.050556918492" "Ascomycota" "-173.050556918492" "Lecanoromycetes" "-173.050556918492" "Umbilicariales" "-173.050556918492" "Umbilicariaceae" "-173.050556918492" "Umbilicaria" "-173.050556918492" "Umbilicaria" "-173.050556918492"
"ITA87PB02DT0JT" "A194" "ITA87PB02DT0JT" "683" " root; 100; cellular organisms; 100; Eukaryota; 100; Opisthokonta; 100; Fungi; 100; Dikarya; 100; Ascomycota; 100; saccharomyceta; 100; Pezizomycotina; 100; leotiomyceta; 100; Eurotiomycetes; 100; Chaetothyriomycetidae; 100; Verrucariales; 100; Verrucariaceae; 100; Bagliettoa; 100; Bagliettoa marmorea; 100;" "otu" "72.1" "OTU_17" "OTU_5" "Fungi" "-128.251618027107" "Ascomycota" "-124.444955537336" "Eurotiomycetes" "-124.444955537336" "Chaetothyriales" "-124.444955537336" "Herpotrichiellaceae" "-124.444955537336" "Placopyrenium" "-117.942665366462" "Chaetothyriales/Herpotrichiellaceae" "-124.444955537336"
"ITA87PB02DJ5OM" "A229" "ITA87PB02DJ5OM" "681" " root; 100; cellular organisms; 100; Eukaryota; 100; Opisthokonta; 100; Fungi; 100; Dikarya; 100; Ascomycota; 100; saccharomyceta; 100; Pezizomycotina; 100; leotiomyceta; 100; Lecanoromycetes; 100; OSLEUM clade; 100; Lecanoromycetidae; 100; Lecanorales; 100; Lecanorineae; 100; Lecanoraceae; 100; Lecanora; 100; Lecanora pringlei; 100;" "match" "99.7" "OTU_11" "0" "Fungi" "-233.071920016165" "Ascomycota" "-233.071920016165" "Lecanoromycetes" "-233.071920016165" "Lecanorales" "-233.071920016165" "Lecanoraceae" "-233.071920016165" "Lecanora" "-233.071920016165" "Lecanora" "-233.071920016165"
"ITA87PB02DA7NK" "A482" "ITA87PB02DA7NK" "591" " Not assigned; 100;" "otu" "70.2" "OTU_18" "OTU_11" "Fungi" "-125.543567826004" "Ascomycota" "-125.543567826004" "Lecanoromycetes" "-125.543567826004" "Pertusariales" "-65.3886733357074" "Megasporaceae" "-65.3886733357074" "Aspicilia" "-65.3886733357074" "Lecanoromycetes" "-125.543567826004"
"ITA87PB02DUH4C" "A476" "ITA87PB02DUH4C" "503" " root; 100; cellular organisms; 100; Eukaryota; 100; Opisthokonta; 100; Fungi; 100; Dikarya; 100; Ascomycota; 100; saccharomyceta; 100; Pezizomycotina; 100; leotiomyceta; 100; Lecanoromycetes; 100; OSLEUM clade; 100; Lecanoromycetidae; 100; Lecanorales; 100; Lecanorineae; 100; Lecanoraceae; 100; Lecanora; 100; Lecanora pringlei; 100;" "match" "98.3" "OTU_11" "0" "Fungi" "-233.071920016165" "Ascomycota" "-233.071920016165" "Lecanoromycetes" "-233.071920016165" "Lecanorales" "-233.071920016165" "Lecanoraceae" "-233.071920016165" "Lecanora" "-233.071920016165" "Lecanora" "-233.071920016165"
"ITA87PB02EKGBC" "A032" "ITA87PB02EKGBC" "496" " root; 100; cellular organisms; 100; Eukaryota; 100; Opisthokonta; 100; Fungi; 100; Dikarya; 100; Ascomycota; 100;" "otu" "71.4" "OTU_19" "OTU_6" "Fungi" "-333.181691303577" "Ascomycota" "-327.883373937029" "Dothideomycetes" "-279.305943432839" "Botryosphaeriales" "-279.305943432839" "Dermateaceae" "-130.554203120101" "Cyphellophora" "-93.7128416321959" "Botryosphaeriales" "-279.305943432839"
